"No.","Time","Source","Destination","Protocol","Length","Info"
"135807","1440.654616","172.16.113.84","135.13.216.191","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"135808","1440.654673","172.16.113.84","135.13.216.191","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"135809","1440.654742","172.16.113.84","135.13.216.191","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"135810","1440.654810","172.16.113.84","135.13.216.191","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"135811","1440.654897","172.16.113.84","135.13.216.191","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"135812","1440.654949","172.16.113.84","135.13.216.191","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"135813","1440.655017","172.16.113.84","135.13.216.191","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (no response found!)"
"135814","1440.655086","172.16.113.84","135.13.216.191","ICMP","60","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (reply in 135819)"
"135819","1440.678372","135.13.216.191","172.16.113.84","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63 (request in 135814)"
"135821","1440.686152","135.13.216.191","172.16.113.84","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"135822","1440.694103","135.13.216.191","172.16.113.84","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"135823","1440.701877","135.13.216.191","172.16.113.84","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"135824","1440.709697","135.13.216.191","172.16.113.84","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"135825","1440.717492","135.13.216.191","172.16.113.84","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
"135826","1440.717574","135.13.216.191","172.16.113.84","ICMP","60","Echo (ping) reply    id=0x0000, seq=0/0, ttl=63"
